ID,NAME,CALORIE,FAT,GLUTEN,PROTEIN,PRICE
1,Strawberry,32,0.0,No,0.7,0.9
2,Carrot,41,0.0,No,0.9,0.3
3,Tomato,18,0.0,No,0.9,0.35
4,Potato,77,0.0,No,2.0,0.8
5,Strawberry,32,0.0,No,0.7,0.9
6,Carrot,41,0.0,No,0.9,0.3
7,Milk,42,1.0,No,3.4,0.9
8,Bread,265,0.7,Yes,9.0,1.2
9,Peanut Butter,588,10.0,No,25.0,3.5
10,Cheese,402,19.0,No,25.0,2.5
11,Lettuce,15,0.0,No,1.4,0.7
12,Peanut Butter,588,10.0,No,25.0,3.5
13,Almonds,579,4.4,No,21.2,1.5
14,Cheese,402,19.0,No,25.0,2.5
15,Milk,42,1.0,No,3.4,0.9
16,Egg,155,1.6,No,13.0,0.2
17,Almonds,579,4.4,No,21.2,1.5
18,Rice,130,0.2,No,2.7,1.1
19,Beef,250,5.0,No,26.0,4.0
20,Rice,130,0.2,No,2.7,1.1
21,Chicken,165,1.0,No,31.0,3.0
22,Spinach,23,0.0,No,2.9,0.6
23,Avocado,160,2.1,No,2.0,1.75
24,Avocado,160,2.1,No,2.0,1.75
25,Egg,155,1.6,No,13.0,0.2
26,Lettuce,15,0.0,No,1.4,0.7
27,Strawberry,32,0.0,No,0.7,0.9
28,Chicken,165,1.0,No,31.0,3.0
29,Spinach,23,0.0,No,2.9,0.6
30,Carrot,41,0.0,No,0.9,0.3
31,Cheese,402,19.0,No,25.0,2.5
32,Lettuce,15,0.0,No,1.4,0.7
33,Avocado,160,2.1,No,2.0,1.75
34,Spinach,23,0.0,No,2.9,0.6
35,Strawberry,32,0.0,No,0.7,0.9
36,Banana,89,0.1,No,1.1,0.4
37,Avocado,160,2.1,No,2.0,1.75
38,Peanut Butter,588,10.0,No,25.0,3.5
39,Chicken,165,1.0,No,31.0,3.0
40,Salmon,208,3.1,No,20.4,5.0
41,Chicken,165,1.0,No,31.0,3.0
42,Tomato,18,0.0,No,0.9,0.35
43,Spinach,23,0.0,No,2.9,0.6
44,Strawberry,32,0.0,No,0.7,0.9
45,Almonds,579,4.4,No,21.2,1.5
46,Beef,250,5.0,No,26.0,4.0
47,Cheese,402,19.0,No,25.0,2.5
48,Banana,89,0.1,No,1.1,0.4
49,Beef,250,5.0,No,26.0,4.0
50,Apple,52,0.0,No,0.3,0.5
51,Milk,42,1.0,No,3.4,0.9
52,Strawberry,32,0.0,No,0.7,0.9
53,Bread,265,0.7,Yes,9.0,1.2
54,Apple,52,0.0,No,0.3,0.5
55,Lettuce,15,0.0,No,1.4,0.7
56,Salmon,208,3.1,No,20.4,5.0
57,Egg,155,1.6,No,13.0,0.2
58,Strawberry,32,0.0,No,0.7,0.9
59,Salmon,208,3.1,No,20.4,5.0
60,Bread,265,0.7,Yes,9.0,1.2
61,Apple,52,0.0,No,0.3,0.5
62,Pasta,158,0.3,Yes,5.8,1.5
63,Apple,52,0.0,No,0.3,0.5
64,Lettuce,15,0.0,No,1.4,0.7
65,Egg,155,1.6,No,13.0,0.2
66,Strawberry,32,0.0,No,0.7,0.9
67,Pasta,158,0.3,Yes,5.8,1.5
68,Strawberry,32,0.0,No,0.7,0.9
69,Pasta,158,0.3,Yes,5.8,1.5
70,Spinach,23,0.0,No,2.9,0.6
71,Spinach,23,0.0,No,2.9,0.6
72,Salmon,208,3.1,No,20.4,5.0
73,Pasta,158,0.3,Yes,5.8,1.5
74,Almonds,579,4.4,No,21.2,1.5
75,Milk,42,1.0,No,3.4,0.9
76,Cheese,402,19.0,No,25.0,2.5
77,Tomato,18,0.0,No,0.9,0.35
78,Milk,42,1.0,No,3.4,0.9
79,Spinach,23,0.0,No,2.9,0.6
80,Avocado,160,2.1,No,2.0,1.75
81,Potato,77,0.0,No,2.0,0.8
82,Chicken,165,1.0,No,31.0,3.0
83,Pasta,158,0.3,Yes,5.8,1.5
84,Avocado,160,2.1,No,2.0,1.75
85,Banana,89,0.1,No,1.1,0.4
86,Cheese,402,19.0,No,25.0,2.5
87,Pasta,158,0.3,Yes,5.8,1.5
88,Pasta,158,0.3,Yes,5.8,1.5
89,Potato,77,0.0,No,2.0,0.8
90,Potato,77,0.0,No,2.0,0.8
91,Chicken,165,1.0,No,31.0,3.0
92,Bread,265,0.7,Yes,9.0,1.2
93,Peanut Butter,588,10.0,No,25.0,3.5
94,Banana,89,0.1,No,1.1,0.4
95,Chicken,165,1.0,No,31.0,3.0
96,Apple,52,0.0,No,0.3,0.5
97,Bread,265,0.7,Yes,9.0,1.2
98,Milk,42,1.0,No,3.4,0.9
99,Rice,130,0.2,No,2.7,1.1
100,Bread,265,0.7,Yes,9.0,1.2
101,Rice,130,0.2,No,2.7,1.1
102,Milk,42,1.0,No,3.4,0.9
103,Chicken,165,1.0,No,31.0,3.0
104,Carrot,41,0.0,No,0.9,0.3
105,Apple,52,0.0,No,0.3,0.5
106,Avocado,160,2.1,No,2.0,1.75
107,Beef,250,5.0,No,26.0,4.0
108,Banana,89,0.1,No,1.1,0.4
109,Rice,130,0.2,No,2.7,1.1
110,Pasta,158,0.3,Yes,5.8,1.5
111,Bread,265,0.7,Yes,9.0,1.2
112,Almonds,579,4.4,No,21.2,1.5
113,Salmon,208,3.1,No,20.4,5.0
114,Tomato,18,0.0,No,0.9,0.35
115,Egg,155,1.6,No,13.0,0.2
116,Spinach,23,0.0,No,2.9,0.6
117,Chicken,165,1.0,No,31.0,3.0
118,Potato,77,0.0,No,2.0,0.8
119,Rice,130,0.2,No,2.7,1.1
120,Avocado,160,2.1,No,2.0,1.75
121,Milk,42,1.0,No,3.4,0.9
122,Almonds,579,4.4,No,21.2,1.5
123,Cheese,402,19.0,No,25.0,2.5
124,Salmon,208,3.1,No,20.4,5.0
125,Banana,89,0.1,No,1.1,0.4
126,Apple,52,0.0,No,0.3,0.5
127,Peanut Butter,588,10.0,No,25.0,3.5
128,Milk,42,1.0,No,3.4,0.9
129,Lettuce,15,0.0,No,1.4,0.7
130,Egg,155,1.6,No,13.0,0.2
131,Chicken,165,1.0,No,31.0,3.0
132,Peanut Butter,588,10.0,No,25.0,3.5
133,Carrot,41,0.0,No,0.9,0.3
134,Avocado,160,2.1,No,2.0,1.75
135,Apple,52,0.0,No,0.3,0.5
136,Milk,42,1.0,No,3.4,0.9
137,Avocado,160,2.1,No,2.0,1.75
138,Peanut Butter,588,10.0,No,25.0,3.5
139,Milk,42,1.0,No,3.4,0.9
140,Avocado,160,2.1,No,2.0,1.75
141,Carrot,41,0.0,No,0.9,0.3
142,Pasta,158,0.3,Yes,5.8,1.5
143,Banana,89,0.1,No,1.1,0.4
144,Egg,155,1.6,No,13.0,0.2
145,Apple,52,0.0,No,0.3,0.5
146,Egg,155,1.6,No,13.0,0.2
147,Egg,155,1.6,No,13.0,0.2
148,Salmon,208,3.1,No,20.4,5.0
149,Salmon,208,3.1,No,20.4,5.0
150,Lettuce,15,0.0,No,1.4,0.7
151,Rice,130,0.2,No,2.7,1.1
152,Rice,130,0.2,No,2.7,1.1
153,Beef,250,5.0,No,26.0,4.0
154,Almonds,579,4.4,No,21.2,1.5
155,Salmon,208,3.1,No,20.4,5.0
156,Potato,77,0.0,No,2.0,0.8
157,Egg,155,1.6,No,13.0,0.2
158,Pasta,158,0.3,Yes,5.8,1.5
159,Spinach,23,0.0,No,2.9,0.6
160,Carrot,41,0.0,No,0.9,0.3
161,Potato,77,0.0,No,2.0,0.8
162,Apple,52,0.0,No,0.3,0.5
163,Salmon,208,3.1,No,20.4,5.0
164,Bread,265,0.7,Yes,9.0,1.2
165,Chicken,165,1.0,No,31.0,3.0
166,Chicken,165,1.0,No,31.0,3.0
167,Cheese,402,19.0,No,25.0,2.5
168,Tomato,18,0.0,No,0.9,0.35
169,Bread,265,0.7,Yes,9.0,1.2
170,Carrot,41,0.0,No,0.9,0.3
171,Almonds,579,4.4,No,21.2,1.5
172,Salmon,208,3.1,No,20.4,5.0
173,Banana,89,0.1,No,1.1,0.4
174,Spinach,23,0.0,No,2.9,0.6
175,Carrot,41,0.0,No,0.9,0.3
176,Salmon,208,3.1,No,20.4,5.0
177,Banana,89,0.1,No,1.1,0.4
178,Tomato,18,0.0,No,0.9,0.35
179,Egg,155,1.6,No,13.0,0.2
180,Apple,52,0.0,No,0.3,0.5
181,Egg,155,1.6,No,13.0,0.2
182,Apple,52,0.0,No,0.3,0.5
183,Cheese,402,19.0,No,25.0,2.5
184,Tomato,18,0.0,No,0.9,0.35
185,Beef,250,5.0,No,26.0,4.0
186,Salmon,208,3.1,No,20.4,5.0
187,Chicken,165,1.0,No,31.0,3.0
188,Spinach,23,0.0,No,2.9,0.6
189,Milk,42,1.0,No,3.4,0.9
190,Milk,42,1.0,No,3.4,0.9
191,Lettuce,15,0.0,No,1.4,0.7
192,Rice,130,0.2,No,2.7,1.1
193,Almonds,579,4.4,No,21.2,1.5
194,Salmon,208,3.1,No,20.4,5.0
195,Potato,77,0.0,No,2.0,0.8
196,Egg,155,1.6,No,13.0,0.2
197,Potato,77,0.0,No,2.0,0.8
198,Milk,42,1.0,No,3.4,0.9
199,Bread,265,0.7,Yes,9.0,1.2
200,Milk,42,1.0,No,3.4,0.9
201,Bread,265,0.7,Yes,9.0,1.2
202,Avocado,160,2.1,No,2.0,1.75
203,Rice,130,0.2,No,2.7,1.1
204,Chicken,165,1.0,No,31.0,3.0
205,Egg,155,1.6,No,13.0,0.2
206,Cheese,402,19.0,No,25.0,2.5
207,Lettuce,15,0.0,No,1.4,0.7
208,Tomato,18,0.0,No,0.9,0.35
209,Potato,77,0.0,No,2.0,0.8
210,Peanut Butter,588,10.0,No,25.0,3.5
211,Strawberry,32,0.0,No,0.7,0.9
212,Rice,130,0.2,No,2.7,1.1
213,Cheese,402,19.0,No,25.0,2.5
214,Almonds,579,4.4,No,21.2,1.5
215,Cheese,402,19.0,No,25.0,2.5
216,Avocado,160,2.1,No,2.0,1.75
217,Bread,265,0.7,Yes,9.0,1.2
218,Apple,52,0.0,No,0.3,0.5
219,Carrot,41,0.0,No,0.9,0.3
220,Pasta,158,0.3,Yes,5.8,1.5
221,Chicken,165,1.0,No,31.0,3.0
222,Tomato,18,0.0,No,0.9,0.35
223,Pasta,158,0.3,Yes,5.8,1.5
224,Almonds,579,4.4,No,21.2,1.5
225,Peanut Butter,588,10.0,No,25.0,3.5
226,Beef,250,5.0,No,26.0,4.0
227,Lettuce,15,0.0,No,1.4,0.7
228,Potato,77,0.0,No,2.0,0.8
229,Avocado,160,2.1,No,2.0,1.75
230,Peanut Butter,588,10.0,No,25.0,3.5
231,Chicken,165,1.0,No,31.0,3.0
232,Peanut Butter,588,10.0,No,25.0,3.5
233,Salmon,208,3.1,No,20.4,5.0
234,Avocado,160,2.1,No,2.0,1.75
235,Lettuce,15,0.0,No,1.4,0.7
236,Potato,77,0.0,No,2.0,0.8
237,Pasta,158,0.3,Yes,5.8,1.5
238,Spinach,23,0.0,No,2.9,0.6
239,Rice,130,0.2,No,2.7,1.1
240,Pasta,158,0.3,Yes,5.8,1.5
